"basisOfRecord","date_year","decimalLatitude","decimalLongitude","eventDate","individualCount","scientificName","id","especie_normalizada","decada"
"HumanObservation",2023,70.2802303578,21.2643411294,"2023-11-27T10:38:24+01:00",NA,"Balaenoptera physalus","6e796d3d-f7ae-4749-97b9-b75d662e881a","Balaenoptera physalus",2020
"HumanObservation",2023,65.3780112783,-22.908773445,"2023-07-02T09:43:00+00:00",NA,"Fratercula arctica","6e79921b-b634-4d71-8a01-71d904931fc0","Fratercula arctica",2020
"HumanObservation",2023,59.1379055,-3.3304783333,"2023-05-15T10:06:05+01:00",NA,"Fratercula arctica","6e8bea53-e1c1-4872-9a1b-7c5f9a503a39","Fratercula arctica",2020
"HumanObservation",2023,78.225815,15.6278133333,"2023-07-30T02:36:00+02:00",NA,"Rissa tridactyla","6ec91631-5e34-4dbe-a629-4c39233eef0c","Rissa tridactyla",2020
"HumanObservation",2023,80.8489429406,20.3270763854,"2023-07-30T11:32:36+02:00",NA,"Fratercula arctica","6ecf7173-ef3a-4899-a9e6-9d8353e3c2ae","Fratercula arctica",2020
"HumanObservation",2023,70.2109248531,31.127509849,"2023-06-23T15:34:00+02:00",NA,"Fratercula arctica","6f1ea163-1344-4602-9e9d-d4d52dd20e81","Fratercula arctica",2020
"HumanObservation",2023,66.5276529345,-17.9826065833,"2023-07-09T18:16:00+00:00",NA,"Rissa tridactyla","6f26dc66-2dfb-46a9-ad92-ecfd834c0558","Rissa tridactyla",2020
"HumanObservation",2023,65.1537254691,-13.9714632769,"2023-07-10T11:16:35+00:00",NA,"Fratercula arctica","6f3bc117-13fb-4d09-a990-25d1109a0c75","Fratercula arctica",2020
"HumanObservation",2023,70.5635,-9.471,"2023-09-28T16:14:00-01:00",NA,"Rissa tridactyla","6f5fabd9-feac-4c65-b283-04fb5a046fac","Rissa tridactyla",2020
"HumanObservation",2023,64.975674,-24.088898,"2023-06-01T11:59:08","1","Physeter macrocephalus","6f764e2b-cd85-4b1d-a79a-5efa1ac69d0b","Physeter macrocephalus",2020
"HumanObservation",2023,58.7174735616,-3.0000634878,"2023-08-06T01:04:00+01:00",NA,"Fratercula arctica","6fa99938-0d72-4eaf-b4a8-dbf57bd3378a","Fratercula arctica",2020
"HumanObservation",2023,64.9257205096,-23.2524970698,"2023-07-20T10:17:00+00:00",NA,"Fratercula arctica","70cd0463-f2f0-4647-b21f-27b76c4365cb","Fratercula arctica",2020
"HumanObservation",2023,77.59571471,14.95226425,"2023-06-20T06:43:00+02:00",NA,"Rissa tridactyla","70e417b2-ea21-49ec-b998-7f9e02147b89","Rissa tridactyla",2020
"HumanObservation",2023,70.2666625744,31.1813381274,"2023-06-23T15:24:54+02:00",NA,"Fratercula arctica","71054751-da4e-4e69-a580-dfd2b1d5507d","Fratercula arctica",2020
"HumanObservation",2023,63.4046799,-19.1185522,"2023-08-15T22:39:00+00:00",NA,"Fratercula arctica","71090a61-2c24-4f2a-9f7f-ed60a3ef2e27","Fratercula arctica",2020
"HumanObservation",2023,64.764305,-23.6246333333,"2023-06-07T10:56:36+00:00",NA,"Rissa tridactyla","711f090f-479d-482a-8552-552562763acc","Rissa tridactyla",2020
"HumanObservation",2023,59.5346984863,-1.6125875711,"2023-06-06T11:16:29+01:00",NA,"Fratercula arctica","71a4722e-7d0a-4055-9da7-5ecb7d275001","Fratercula arctica",2020
"HumanObservation",2023,65.4966552783,-24.5151063883,"2023-07-16T14:13:00+00:00",NA,"Fratercula arctica","71e87ef6-6d32-493b-85ed-52e69a2ff0cf","Fratercula arctica",2020
"HumanObservation",2023,70.254741183,31.1595990081,"2023-06-23T16:20:00+02:00",NA,"Fratercula arctica","71f0f02e-0b0d-4a25-b6b3-b26ad6a1e85d","Fratercula arctica",2020
"HumanObservation",2023,65.5419158062,-13.7541047362,"2023-06-04T09:09:00+00:00",NA,"Fratercula arctica","722b19ee-4b99-47bf-970b-3193bc62e77b","Fratercula arctica",2020
"HumanObservation",2023,70.2659237823,31.0009547929,"2023-07-01T11:03:00+02:00",NA,"Fratercula arctica","722f3427-fe0e-4dc9-887f-53ec1fb2e602","Fratercula arctica",2020
"HumanObservation",2023,74.3482861813,19.091430812,"2023-07-19T08:45:00+02:00",NA,"Rissa tridactyla","72490110-6bcf-4812-8984-bac33f04b3d8","Rissa tridactyla",2020
"HumanObservation",2023,63.860594,-16.668212,"2023-07-10T11:30:00+00:00",NA,"Fratercula arctica","72c8ec0a-5c4a-41d4-b941-110d0881a4f9","Fratercula arctica",2020
"HumanObservation",2023,67.7731065127,12.7904243167,"2023-07-18T21:16:00+02:00",NA,"Fratercula arctica","72dec84f-83a9-48ba-8a95-f2badb54257d","Fratercula arctica",2020
"HumanObservation",2023,63.4451330824,-20.2602900122,"2023-07-24T14:13:00+00:00",NA,"Fratercula arctica","7411f69a-0371-43ff-b5fd-7bfd3855a2c9","Fratercula arctica",2020
"HumanObservation",2023,71.1253259289,25.312125691,"2023-07-17T12:11:00+02:00",NA,"Fratercula arctica","74127d19-f800-4026-920b-199c528728e6","Fratercula arctica",2020
"HumanObservation",2023,70.3999268948,31.1424599867,"2023-06-23T17:26:00+02:00",NA,"Rissa tridactyla","7458af5e-7492-4220-8212-63c709b0459d","Rissa tridactyla",2020
"HumanObservation",2023,70.2620500839,31.1265312622,"2023-06-23T15:22:00+02:00",NA,"Rissa tridactyla","745eb9fc-e746-4e91-a888-d2722b974768","Rissa tridactyla",2020
"HumanObservation",2023,57.1585175442,9.0255849715,"2023-08-10T15:35:54+02:00",NA,"Rissa tridactyla","74879f2b-9bca-4a09-b425-65e2404704fa","Rissa tridactyla",2020
"HumanObservation",2023,70.3307833127,31.1285624532,"2023-06-23T16:55:00+02:00",NA,"Fratercula arctica","748c1e91-3898-4646-8b25-bf012ce7cf9e","Fratercula arctica",2020
"HumanObservation",2023,63.4025728,-19.0420784,"2023-07-26T14:33:47+00:00",NA,"Fratercula arctica","748c8aa2-eba0-4ef1-917a-50a002556300","Fratercula arctica",2020
"HumanObservation",2023,79.8425095864,11.4592708413,"2023-06-11T10:51:00+02:00",NA,"Fratercula arctica","749ef4ee-ff70-459e-a92c-843134154639","Fratercula arctica",2020
"HumanObservation",2023,78.9227603266,11.9561187576,"2023-06-25T12:07:00+02:00",NA,"Rissa tridactyla","74ae845a-8d80-43f1-8f41-6ab7de85c108","Rissa tridactyla",2020
"HumanObservation",2023,65.5415441667,-13.7549983333,"2023-08-05T13:17:00+00:00",NA,"Rissa tridactyla","74c789a9-850c-4c9c-b709-04435ddddbab","Rissa tridactyla",2020
"HumanObservation",2023,70.2571134046,31.0221697765,"2023-06-23T17:26:00+02:00",NA,"Rissa tridactyla","74d3cfeb-a312-4101-9631-e9fa72d18741","Rissa tridactyla",2020
