basisOfRecord,date_year,decimalLatitude,decimalLongitude,eventDate,individualCount,scientificName,id,especie_normalizada,decada,traffic_at_point,traffic_buffer_mean
HumanObservation,2023,66.5553767193,-18.0123174083,2023-07-22T13:28:45+00:00,,Fratercula arctica,b905ab79-b64a-49ff-ad0e-a099134951a9,Fratercula arctica,2020,1.8392084836959839,14.99882698059082
HumanObservation,2023,66.5362296267,-18.007680346,2023-07-20T13:48:00+00:00,,Fratercula arctica,ba169249-5cad-4775-9f6e-a4804e51e97b,Fratercula arctica,2020,1.5105878114700317,14.761794090270996
HumanObservation,2023,63.4450266958,-20.2614583281,2023-07-24T14:25:00+00:00,,Fratercula arctica,bac1e9d7-665c-4e42-a142-de261c025cb9,Fratercula arctica,2020,13177.1298828125,50.4283332824707
HumanObservation,2023,67.9084318396,13.0832486492,2023-05-27T19:39:00+02:00,,Rissa tridactyla,bb39bd25-6a77-4670-a0fe-0657be1c2fe4,Rissa tridactyla,2020,8.140392303466797,64.66162109375
HumanObservation,2023,57.1224416667,8.6024383333,2023-01-19T12:56:24+01:00,,Rissa tridactyla,bd905298-7633-4975-9f57-479e06a9233a,Rissa tridactyla,2020,24949.2265625,108.5760269165039
HumanObservation,2023,65.3003604929,-22.9950655997,2023-06-28T07:46:00+00:00,,Fratercula arctica,be3196d7-e242-403a-baa5-f19dc9e7de3e,Fratercula arctica,2020,0.09014376997947693,1.2850923538208008
HumanObservation,2023,63.4391215007,-20.3034081577,2023-07-24T19:48:00+00:00,,Fratercula arctica,bf04604d-b0bd-4573-8556-0af26d0f5e10,Fratercula arctica,2020,5.957663536071777,49.8538932800293
HumanObservation,2023,63.403222,-19.129782,2023-08-13T06:33:00+00:00,,Fratercula arctica,bf39a120-1c98-4ecf-b448-a5fd88ad6bfc,Fratercula arctica,2020,0.0011651238892227411,0.9701371192932129
HumanObservation,2023,65.5421216667,-13.7548083333,2023-08-16T10:44:30+00:00,,Fratercula arctica,bf821318-67df-46b2-a581-a58c44f990cb,Fratercula arctica,2020,3972.853759765625,16.466697692871094
HumanObservation,2023,62.3276186863,-6.9453131215,2023-06-29T12:10:00+01:00,,Fratercula arctica,bf9b9ec7-b150-4451-8041-0cbed779b7d7,Fratercula arctica,2020,0.30417105555534363,6.418519973754883
HumanObservation,2023,64.0498063399,-16.169939297,2023-07-22T13:45:00+00:00,,Rissa tridactyla,c09df502-a044-4fb7-adb8-94af3b1f4b66,Rissa tridactyla,2020,0.0,0.19356860220432281
HumanObservation,2023,63.4035383333,-19.1300166667,2023-08-03T11:38:49+00:00,,Fratercula arctica,c0f4180c-a3a9-4d8b-9335-07717bdf9fa0,Fratercula arctica,2020,0.0011651238892227411,0.9701371192932129
HumanObservation,2023,58.5886869444,-4.7583208333,2023-06-20T10:14:36+01:00,,Fratercula arctica,c28f5501-4adf-4484-82d0-5ed71ad6af21,Fratercula arctica,2020,0.05053827166557312,0.7807495594024658
HumanObservation,2023,59.8537802026,-1.2755630538,2023-06-17T14:29:47+01:00,,Rissa tridactyla,c312ce1b-c27b-4ece-aac6-2fa888d7f90e,Rissa tridactyla,2020,4.102808475494385,1.8420878648757935
HumanObservation,2023,65.5288223651,-23.192177386,2023-06-22T13:27:00+00:00,,Fratercula arctica,c32a7c44-46da-4a1a-820a-89c27c004ba6,Fratercula arctica,2020,423.1888427734375,2.583388566970825
HumanObservation,2023,66.2763658923,-19.0515000531,2023-06-23T20:27:00+00:00,,Fratercula arctica,c3a72f35-9048-4177-9962-0d34827b2060,Fratercula arctica,2020,0.5049039125442505,0.8216004967689514
HumanObservation,2023,64.0475528333,-16.1807883333,2023-09-07T12:13:39+00:00,,Rissa tridactyla,c3b43587-3c40-41d8-8e5a-c188e4c8c97b,Rissa tridactyla,2020,0.0,0.19356860220432281
HumanObservation,2023,65.3761218868,-22.9136349963,2023-06-29T03:09:00+00:00,,Fratercula arctica,c3bed914-4ea1-4a15-b133-416e10e19314,Fratercula arctica,2020,31.35597801208496,1.4203054904937744
HumanObservation,2023,65.6851666667,-18.0743778333,2023-05-25T19:13:09+00:00,,Rissa tridactyla,c5af8c1c-31f8-4ae8-bd91-b24fd3c37ee2,Rissa tridactyla,2020,1378.814453125,201.01576232910156
HumanObservation,2023,63.4450266958,-20.2614583281,2023-07-24T14:17:00+00:00,,Fratercula arctica,c5eb795a-4c71-4e16-aefb-3641fa5bec4f,Fratercula arctica,2020,13177.1298828125,50.4283332824707
HumanObservation,2023,64.7716916074,-23.554342631,2023-07-13T16:54:00+00:00,,Rissa tridactyla,c5ff7034-c28f-4fc4-85a0-c9e27f097277,Rissa tridactyla,2020,1.8836169242858887,8.37494945526123
HumanObservation,2023,63.4130554199,-19.0626773834,2023-08-02T12:02:35+00:00,,Fratercula arctica,c60053d7-bfbe-42ce-bb4e-36962d3ae3dc,Fratercula arctica,2020,0.0,0.7678641080856323
HumanObservation,2023,64.1552218278,-21.8586389831,2023-05-23T09:57:00+00:00,,Rissa tridactyla,c69b512d-750f-4dac-b4a9-3d50f8903d61,Rissa tridactyla,2020,1861.67529296875,190.05136108398438
HumanObservation,2023,63.4589604305,-20.2233911987,2023-07-03T17:10:00+00:00,,Fratercula arctica,c7521e17-92eb-4d52-a62d-78c54685fda5,Fratercula arctica,2020,19.955875396728516,52.155731201171875
HumanObservation,2023,67.8105913833,13.2246723011,2023-07-18T09:03:00+02:00,,Rissa tridactyla,c75690bb-2477-4e7b-a56c-d0d13e606b09,Rissa tridactyla,2020,4.353522300720215,35.645816802978516
HumanObservation,2023,58.066964286,6.539841914,2023-10-14T08:32:01+02:00,,Rissa tridactyla,c7ad8f75-2781-4202-b12c-80f285f37b48,Rissa tridactyla,2020,5.1974406242370605,7.012131214141846
HumanObservation,2023,65.542065051,-13.7547969825,2023-08-11,,Fratercula arctica,c83d404b-6b8c-4199-a92b-2a1710e1b557,Fratercula arctica,2020,3972.853759765625,16.466697692871094
HumanObservation,2023,61.2631648178,-0.9520358619,2023-10-05T11:28:00+00:00,,Rissa tridactyla,c8a7b1ff-3da2-4e7f-a80f-aefa690eb700,Rissa tridactyla,2020,0.07702144980430603,0.06968934834003448
HumanObservation,2023,64.7716916074,-23.554342631,2023-07-13T16:57:00+00:00,,Rissa tridactyla,c96b0f56-2869-4b12-95a4-f379e2a9322f,Rissa tridactyla,2020,1.8836169242858887,8.37494945526123
HumanObservation,2023,64.0489313883,-16.181426945,2023-07-22T21:48:00+00:00,,Rissa tridactyla,cad5e003-d81e-40c0-b2e8-101ebada8008,Rissa tridactyla,2020,0.0,0.19356860220432281
HumanObservation,2023,66.4552209841,-22.8174910773,2023-07-20T16:04:00+00:00,,Rissa tridactyla,caf8821f-dbf4-4fb4-a31c-3ff93f15ffa8,Rissa tridactyla,2020,0.038441386073827744,0.6745139360427856
HumanObservation,2023,64.0705324,-22.6512494,2023-06-15T19:43:00+00:00,,Rissa tridactyla,cd251d29-e23b-4248-8b67-01bf0e7d879f,Rissa tridactyla,2020,1.8488099575042725,53.7739372253418
HumanObservation,2023,63.4033545891,-19.1073019803,2023-08-13T17:16:07+00:00,,Fratercula arctica,cd3a930d-b62e-4094-a863-510bf1c779d7,Fratercula arctica,2020,0.0063093360513448715,0.9070271253585815
HumanObservation,2023,65.5025055956,-24.5316633673,2023-06-13T23:57:17+00:00,,Fratercula arctica,cd484391-78d3-42ae-871e-561d92635a0d,Fratercula arctica,2020,0.4882706105709076,0.7793280482292175
HumanObservation,2023,65.5418840709,-13.7548971646,2023-08-05T12:58:00+00:00,,Fratercula arctica,cd906615-fe18-4e83-8d5c-31bf8c5d255d,Fratercula arctica,2020,3972.853759765625,16.466697692871094
HumanObservation,2023,65.5420411111,-13.7547898761,2023-08-05T12:21:00+00:00,,Fratercula arctica,cda16652-2cbc-47c1-adac-0f18017ced55,Fratercula arctica,2020,3972.853759765625,16.466697692871094
HumanObservation,2023,59.8561557097,-1.2732211918,2023-07-05T10:56:28+01:00,,Fratercula arctica,cded47bc-edda-421c-b53e-381d09f81685,Fratercula arctica,2020,0.6041481494903564,1.852075219154358
HumanObservation,2023,64.0489691667,-16.181495,2023-07-22T21:53:00+00:00,,Rissa tridactyla,ce4426aa-3706-472c-990f-05a3739b9686,Rissa tridactyla,2020,0.0,0.19356860220432281
HumanObservation,2023,62.4362157035,5.768690962,2023-06-23T20:45:00+02:00,,Fratercula arctica,d14e2847-9b87-48d0-bf9a-e94fccf61b1b,Fratercula arctica,2020,0.818157434463501,25.346920013427734
HumanObservation,2023,58.6090477997,-3.3484463997,2023-05-26T22:04:30+01:00,,Fratercula arctica,d2638c12-ee5b-4097-97f3-605900bafbd5,Fratercula arctica,2020,0.0,1.5971944332122803
HumanObservation,2023,66.081892,-17.551167,2023-06-15T11:00,1.0,Balaenoptera musculus,d330be69-6798-40f2-b74e-b90466fa4ebb,Balaenoptera musculus,2020,9.621062278747559,41.757022857666016
HumanObservation,2023,65.5422625,-13.7550397222,2023-08-05T12:41:00+00:00,,Rissa tridactyla,d34140dc-5ecd-4eb9-b7af-4823d64d8109,Rissa tridactyla,2020,3972.853759765625,16.466697692871094
